sequence,session_id,prefetch_hit,prefetch_waste,hit_rate,cost_usd,tau_l2,prefetch_conf,coverage,accuracy,lead_ms,task_success
1,u43-causal-off-01,1,0,1.000,0.015,0.000,0.300,0.000,1.000,80.000,true
2,u43-causal-off-02,1,0,1.000,0.015,0.000,0.300,0.091,1.000,160.000,true
3,u43-causal-off-03,1,0,1.000,0.015,0.000,0.300,0.167,1.000,240.000,true
4,u43-causal-off-04,1,0,1.000,0.015,0.000,0.300,0.231,1.000,320.000,true
5,u43-causal-off-05,1,0,1.000,0.015,0.000,0.300,0.286,1.000,400.000,true
6,u43-causal-off-06,1,0,1.000,0.015,0.000,0.300,0.333,1.000,480.000,true
7,u43-causal-off-07,1,0,1.000,0.015,0.000,0.300,0.375,1.000,560.000,true
8,u43-causal-off-08,1,0,1.000,0.015,0.000,0.300,0.412,1.000,640.000,true
9,u43-causal-off-09,1,0,1.000,0.015,0.000,0.300,0.444,1.000,720.000,true
10,u43-causal-off-10,1,0,1.000,0.015,0.000,0.300,0.474,1.000,800.000,true
11,u43-causal-off-11,0,1,0.000,0.026,0.000,0.300,0.500,0.909,880.000,true
12,u43-causal-off-12,0,1,0.000,0.026,0.000,0.300,0.476,0.833,960.000,true
13,u43-causal-off-13,0,1,0.000,0.026,0.000,0.300,0.455,0.769,1040.000,true
14,u43-causal-off-14,0,1,0.000,0.026,0.000,0.300,0.435,0.714,1120.000,true
15,u43-causal-off-15,0,1,0.000,0.026,0.000,0.300,0.417,0.667,1200.000,true
16,u43-causal-off-16,0,1,0.000,0.026,0.000,0.300,0.400,0.625,1280.000,true
17,u43-causal-off-17,0,1,0.000,0.026,0.000,0.300,0.385,0.588,1360.000,true
18,u43-causal-off-18,0,1,0.000,0.026,0.000,0.300,0.370,0.556,1440.000,true
19,u43-causal-off-19,0,1,0.000,0.026,0.000,0.300,0.357,0.526,1520.000,true
20,u43-causal-off-20,0,0,0.000,0.020,0.000,0.300,0.345,0.526,1600.000,true
21,u43-causal-off-21,0,0,0.000,0.020,0.000,0.300,0.333,0.526,1680.000,true
22,u43-causal-off-22,0,0,0.000,0.020,0.000,0.300,0.323,0.526,1760.000,true
23,u43-causal-off-23,0,0,0.000,0.020,0.000,0.300,0.312,0.526,1840.000,true
24,u43-causal-off-24,0,0,0.000,0.020,0.000,0.300,0.303,0.526,1920.000,true
25,u43-causal-off-25,0,0,0.000,0.020,0.000,0.300,0.294,0.526,2000.000,true
